Year,UNIT_MEASURE,Sex,Value
2011,Number,Both sexes,298
2012,Number,Both sexes,325
2013,Number,Both sexes,611
2014,Number,Both sexes,791
2015,Number,Both sexes,825
2016,Number,Both sexes,859
2017,Number,Both sexes,874
2018,Number,Both sexes,826
2019,Number,Both sexes,1128
2020,Number,Both sexes,1003
2021,Number,Both sexes,984
2022,Number,Both sexes,1089
2023,Number,Both sexes,1015
2011,Number,M,82
2012,Number,M,100
2013,Number,M,181
2014,Number,M,247
2015,Number,M,218
2016,Number,M,234
2017,Number,M,273
2018,Number,M,249
2019,Number,M,398
2020,Number,M,346
2021,Number,M,298
2022,Number,M,300
2023,Number,M,271
2011,Number,F,216
2012,Number,F,225
2013,Number,F,430
2014,Number,F,544
2015,Number,F,607
2016,Number,F,625
2017,Number,F,601
2018,Number,F,577
2019,Number,F,730
2020,Number,F,657
2021,Number,F,686
2022,Number,F,789
2023,Number,F,744
