Year,UNIT_MEASURE,Vrsta obrazovanja,Spol,Value
2014,Broj,Ukupno,Oba spola,11333
2014,Broj,Obrazovanje,Oba spola,1199
2014,Broj,Umjetnost i humanističke znanosti,Oba spola,1393
2014,Broj,"Društvene znanosti, novinarstvo i informiranje",Oba spola,2491
2014,Broj,"Poslovanje, administracija i pravo",Oba spola,1674
2014,Broj,"Prirodne znanosti, matematika i statistika",Oba spola,593
2014,Broj,Informacijske i komunikacijske tehnologije,Oba spola,286
2014,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Oba spola,1516
2014,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Oba spola,539
2014,Broj,Zdravstvo i socijalna skrb,Oba spola,961
2014,Broj,Usluge,Oba spola,586
2014,Broj,Nepoznato,Oba spola,95
2014,Broj,Ukupno,M,4494
2014,Broj,Obrazovanje,M,313
2014,Broj,Umjetnost i humanističke znanosti,M,470
2014,Broj,"Društvene znanosti, novinarstvo i informiranje",M,968
2014,Broj,"Poslovanje, administracija i pravo",M,625
2014,Broj,"Prirodne znanosti, matematika i statistika",M,175
2014,Broj,Informacijske i komunikacijske tehnologije,M,176
2014,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",M,965
2014,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",M,248
2014,Broj,Zdravstvo i socijalna skrb,M,189
2014,Broj,Usluge,M,334
2014,Broj,Nepoznato,M,31
2014,Broj,Ukupno,Ž,6839
2014,Broj,Obrazovanje,Ž,886
2014,Broj,Umjetnost i humanističke znanosti,Ž,923
2014,Broj,"Društvene znanosti, novinarstvo i informiranje",Ž,1523
2014,Broj,"Poslovanje, administracija i pravo",Ž,1049
2014,Broj,"Prirodne znanosti, matematika i statistika",Ž,418
2014,Broj,Informacijske i komunikacijske tehnologije,Ž,110
2014,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ž,551
2014,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ž,291
2014,Broj,Zdravstvo i socijalna skrb,Ž,772
2014,Broj,Usluge,Ž,252
2014,Broj,Nepoznato,Ž,64
2015,Broj,Ukupno,Oba spola,12062
2015,Broj,Obrazovanje,Oba spola,910
2015,Broj,Umjetnost i humanističke znanosti,Oba spola,1407
2015,Broj,"Društvene znanosti, novinarstvo i informiranje",Oba spola,2674
2015,Broj,"Poslovanje, administracija i pravo",Oba spola,2158
2015,Broj,"Prirodne znanosti, matematika i statistika",Oba spola,659
2015,Broj,Informacijske i komunikacijske tehnologije,Oba spola,332
2015,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Oba spola,1827
2015,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Oba spola,585
2015,Broj,Zdravstvo i socijalna skrb,Oba spola,905
2015,Broj,Usluge,Oba spola,574
2015,Broj,Nepoznato,Oba spola,31
2015,Broj,Ukupno,M,4717
2015,Broj,Obrazovanje,M,245
2015,Broj,Umjetnost i humanističke znanosti,M,438
2015,Broj,"Društvene znanosti, novinarstvo i informiranje",M,1031
2015,Broj,"Poslovanje, administracija i pravo",M,723
2015,Broj,"Prirodne znanosti, matematika i statistika",M,182
2015,Broj,Informacijske i komunikacijske tehnologije,M,224
2015,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",M,1128
2015,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",M,257
2015,Broj,Zdravstvo i socijalna skrb,M,172
2015,Broj,Usluge,M,308
2015,Broj,Nepoznato,M,9
2015,Broj,Ukupno,Ž,7345
2015,Broj,Obrazovanje,Ž,665
2015,Broj,Umjetnost i humanističke znanosti,Ž,969
2015,Broj,"Društvene znanosti, novinarstvo i informiranje",Ž,1643
2015,Broj,"Poslovanje, administracija i pravo",Ž,1435
2015,Broj,"Prirodne znanosti, matematika i statistika",Ž,477
2015,Broj,Informacijske i komunikacijske tehnologije,Ž,108
