Year,UNIT_MEASURE,Vrsta obrazovanja,Spol,Value
2014,Broj,Ukupno,Oba spola,791
2014,Broj,Obrazovanje,Oba spola,0
2014,Broj,Umjetnost i humanističke znanosti,Oba spola,21
2014,Broj,"Društvene znanosti, novinarstvo i informiranje",Oba spola,0
2014,Broj,"Poslovanje, administracija i pravo",Oba spola,128
2014,Broj,"Prirodne znanosti, matematika i statistika",Oba spola,0
2014,Broj,Informacijske i komunikacijske tehnologije,Oba spola,0
2014,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Oba spola,1
2014,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Oba spola,48
2014,Broj,Zdravstvo i socijalna skrb,Oba spola,593
2014,Broj,Usluge,Oba spola,0
2014,Broj,Nepoznato,Oba spola,0
2015,Broj,Ukupno,Oba spola,825
2015,Broj,Obrazovanje,Oba spola,0
2015,Broj,Umjetnost i humanističke znanosti,Oba spola,22
2015,Broj,"Društvene znanosti, novinarstvo i informiranje",Oba spola,0
2015,Broj,"Poslovanje, administracija i pravo",Oba spola,120
2015,Broj,"Prirodne znanosti, matematika i statistika",Oba spola,0
2015,Broj,Informacijske i komunikacijske tehnologije,Oba spola,0
2015,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Oba spola,0
2015,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Oba spola,0
2015,Broj,Zdravstvo i socijalna skrb,Oba spola,683
2015,Broj,Usluge,Oba spola,0
2015,Broj,Nepoznato,Oba spola,0
2016,Broj,Ukupno,Oba spola,859
2016,Broj,Obrazovanje,Oba spola,0
2016,Broj,Umjetnost i humanističke znanosti,Oba spola,26
2016,Broj,"Društvene znanosti, novinarstvo i informiranje",Oba spola,0
2016,Broj,"Poslovanje, administracija i pravo",Oba spola,111
2016,Broj,"Prirodne znanosti, matematika i statistika",Oba spola,0
2016,Broj,Informacijske i komunikacijske tehnologije,Oba spola,0
2016,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Oba spola,1
2016,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Oba spola,29
2016,Broj,Zdravstvo i socijalna skrb,Oba spola,692
2016,Broj,Usluge,Oba spola,0
2016,Broj,Nepoznato,Oba spola,0
2017,Broj,Ukupno,Oba spola,874
2017,Broj,Obrazovanje,Oba spola,0
2017,Broj,Umjetnost i humanističke znanosti,Oba spola,34
2017,Broj,"Društvene znanosti, novinarstvo i informiranje",Oba spola,0
2017,Broj,"Poslovanje, administracija i pravo",Oba spola,19
2017,Broj,"Prirodne znanosti, matematika i statistika",Oba spola,0
2017,Broj,Informacijske i komunikacijske tehnologije,Oba spola,0
2017,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Oba spola,0
2017,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Oba spola,56
2017,Broj,Zdravstvo i socijalna skrb,Oba spola,765
2017,Broj,Usluge,Oba spola,0
2017,Broj,Nepoznato,Oba spola,0
2018,Broj,Ukupno,Oba spola,826
2018,Broj,Obrazovanje,Oba spola,0
2018,Broj,Umjetnost i humanističke znanosti,Oba spola,25
2018,Broj,"Društvene znanosti, novinarstvo i informiranje",Oba spola,0
2018,Broj,"Poslovanje, administracija i pravo",Oba spola,42
2018,Broj,"Prirodne znanosti, matematika i statistika",Oba spola,0
2018,Broj,Informacijske i komunikacijske tehnologije,Oba spola,0
2018,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Oba spola,0
2018,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Oba spola,70
2018,Broj,Zdravstvo i socijalna skrb,Oba spola,689
2018,Broj,Usluge,Oba spola,0
2018,Broj,Nepoznato,Oba spola,0
2019,Broj,Ukupno,Oba spola,1128
2019,Broj,Obrazovanje,Oba spola,1
2019,Broj,Umjetnost i humanističke znanosti,Oba spola,19
2019,Broj,"Društvene znanosti, novinarstvo i informiranje",Oba spola,0
2019,Broj,"Poslovanje, administracija i pravo",Oba spola,62
2019,Broj,"Prirodne znanosti, matematika i statistika",Oba spola,0
2019,Broj,Informacijske i komunikacijske tehnologije,Oba spola,4
2019,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Oba spola,0
2019,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Oba spola,59
2019,Broj,Zdravstvo i socijalna skrb,Oba spola,983
2019,Broj,Usluge,Oba spola,0
2019,Broj,Nepoznato,Oba spola,0
2020,Broj,Ukupno,Oba spola,1003
2020,Broj,Obrazovanje,Oba spola,0
2020,Broj,Umjetnost i humanističke znanosti,Oba spola,42
2020,Broj,"Društvene znanosti, novinarstvo i informiranje",Oba spola,0
2020,Broj,"Poslovanje, administracija i pravo",Oba spola,0
2020,Broj,"Prirodne znanosti, matematika i statistika",Oba spola,0
2020,Broj,Informacijske i komunikacijske tehnologije,Oba spola,0
2020,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Oba spola,0
2020,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Oba spola,45
2020,Broj,Zdravstvo i socijalna skrb,Oba spola,916
2020,Broj,Usluge,Oba spola,0
2020,Broj,Nepoznato,Oba spola,0
2014,Broj,Ukupno,M,247
2014,Broj,Obrazovanje,M,0
2014,Broj,Umjetnost i humanističke znanosti,M,11
2014,Broj,"Društvene znanosti, novinarstvo i informiranje",M,0
2014,Broj,"Poslovanje, administracija i pravo",M,39
