Year,UNIT_MEASURE,Sex,Value
2011,Number,Both sexes,1238
2012,Number,Both sexes,1301
2013,Number,Both sexes,1388
2014,Number,Both sexes,1515
2015,Number,Both sexes,1667
2016,Number,Both sexes,1793
2017,Number,Both sexes,1898
2018,Number,Both sexes,2131
2019,Number,Both sexes,2384
2020,Number,Both sexes,2519
2021,Number,Both sexes,2889
2011,Number,M,22
2012,Number,M,17
2013,Number,M,22
2014,Number,M,23
2015,Number,M,22
2016,Number,M,24
2017,Number,M,28
2018,Number,M,29
2019,Number,M,31
2020,Number,M,27
2021,Number,M,48
2011,Number,F,1216
2012,Number,F,1284
2013,Number,F,1366
2014,Number,F,1492
2015,Number,F,1645
2016,Number,F,1769
2017,Number,F,1870
2018,Number,F,2102
2019,Number,F,2353
2020,Number,F,2492
2021,Number,F,2841
