Year,UNIT_MEASURE,type_of_education,SEX,Value
2018,NUMBER,total,_T,193
2018,NUMBER,education,_T,8
2018,NUMBER,arts_and_humanities,_T,18
2018,NUMBER,social_sciences_journalism_and_information,_T,28
2018,NUMBER,business_administration_and_the_law_of_everything,_T,44
2018,NUMBER,natural_sciences_mathematics_and_statistics_of_all,_T,19
2018,NUMBER,information_and_communication_technologies,_T,8
2018,NUMBER,engineering_manufacturing_and_construction,_T,21
2018,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,_T,16
2018,NUMBER,health_and_social_protection,_T,22
2018,NUMBER,services,_T,8
2018,NUMBER,unknown,_T,1
2018,NUMBER,total,M,106
2018,NUMBER,education,M,4
2018,NUMBER,arts_and_humanities,M,9
2018,NUMBER,social_sciences_journalism_and_information,M,18
2018,NUMBER,business_administration_and_the_law_of_everything,M,25
2018,NUMBER,natural_sciences_mathematics_and_statistics_of_all,M,11
2018,NUMBER,information_and_communication_technologies,M,7
2018,NUMBER,engineering_manufacturing_and_construction,M,12
2018,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,M,8
2018,NUMBER,health_and_social_protection,M,7
2018,NUMBER,services,M,5
2018,NUMBER,unknown,M,0
2018,NUMBER,total,F,87
2018,NUMBER,education,F,4
2018,NUMBER,arts_and_humanities,F,9
2018,NUMBER,social_sciences_journalism_and_information,F,10
2018,NUMBER,business_administration_and_the_law_of_everything,F,19
2018,NUMBER,natural_sciences_mathematics_and_statistics_of_all,F,8
2018,NUMBER,information_and_communication_technologies,F,1
2018,NUMBER,engineering_manufacturing_and_construction,F,9
2018,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,F,8
2018,NUMBER,health_and_social_protection,F,15
2018,NUMBER,services,F,3
2018,NUMBER,unknown,F,1
2019,NUMBER,total,_T,166
2019,NUMBER,education,_T,7
2019,NUMBER,arts_and_humanities,_T,21
2019,NUMBER,social_sciences_journalism_and_information,_T,37
2019,NUMBER,business_administration_and_the_law_of_everything,_T,42
2019,NUMBER,natural_sciences_mathematics_and_statistics_of_all,_T,10
2019,NUMBER,information_and_communication_technologies,_T,5
2019,NUMBER,engineering_manufacturing_and_construction,_T,16
2019,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,_T,9
2019,NUMBER,health_and_social_protection,_T,14
2019,NUMBER,services,_T,3
2019,NUMBER,unknown,_T,2
2019,NUMBER,total,M,97
2019,NUMBER,education,M,3
2019,NUMBER,arts_and_humanities,M,9
2019,NUMBER,social_sciences_journalism_and_information,M,30
2019,NUMBER,business_administration_and_the_law_of_everything,M,27
2019,NUMBER,natural_sciences_mathematics_and_statistics_of_all,M,3
2019,NUMBER,information_and_communication_technologies,M,3
2019,NUMBER,engineering_manufacturing_and_construction,M,9
2019,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,M,6
2019,NUMBER,health_and_social_protection,M,3
2019,NUMBER,services,M,2
2019,NUMBER,unknown,M,2
2019,NUMBER,total,F,69
2019,NUMBER,education,F,4
2019,NUMBER,arts_and_humanities,F,12
2019,NUMBER,social_sciences_journalism_and_information,F,7
2019,NUMBER,business_administration_and_the_law_of_everything,F,15
2019,NUMBER,natural_sciences_mathematics_and_statistics_of_all,F,7
2019,NUMBER,information_and_communication_technologies,F,2
2019,NUMBER,engineering_manufacturing_and_construction,F,7
2019,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,F,3
2019,NUMBER,health_and_social_protection,F,11
2019,NUMBER,services,F,1
2019,NUMBER,unknown,F,0
2020,NUMBER,total,_T,148
2020,NUMBER,education,_T,11
2020,NUMBER,arts_and_humanities,_T,9
2020,NUMBER,social_sciences_journalism_and_information,_T,45
2020,NUMBER,business_administration_and_the_law_of_everything,_T,21
2020,NUMBER,natural_sciences_mathematics_and_statistics_of_all,_T,11
2020,NUMBER,information_and_communication_technologies,_T,6
2020,NUMBER,engineering_manufacturing_and_construction,_T,17
2020,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,_T,6
2020,NUMBER,health_and_social_protection,_T,15
2020,NUMBER,services,_T,7
2020,NUMBER,unknown,_T,0
2020,NUMBER,total,M,90
2020,NUMBER,education,M,7
2020,NUMBER,arts_and_humanities,M,2
2020,NUMBER,social_sciences_journalism_and_information,M,34
2020,NUMBER,business_administration_and_the_law_of_everything,M,16
2020,NUMBER,natural_sciences_mathematics_and_statistics_of_all,M,7
2020,NUMBER,information_and_communication_technologies,M,3
2020,NUMBER,engineering_manufacturing_and_construction,M,10
2020,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,M,1
2020,NUMBER,health_and_social_protection,M,4
2020,NUMBER,services,M,6
2020,NUMBER,unknown,M,0
2020,NUMBER,total,F,58
2020,NUMBER,education,F,4
2020,NUMBER,arts_and_humanities,F,7
2020,NUMBER,social_sciences_journalism_and_information,F,12
2020,NUMBER,business_administration_and_the_law_of_everything,F,4
2020,NUMBER,natural_sciences_mathematics_and_statistics_of_all,F,4
2020,NUMBER,information_and_communication_technologies,F,3
2020,NUMBER,engineering_manufacturing_and_construction,F,7
2020,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,F,5
2020,NUMBER,health_and_social_protection,F,11
2020,NUMBER,services,F,1
2020,NUMBER,unknown,F,0
