Year,UNIT_MEASURE,Пол,Value
2011,Број,Оба пола,189
2012,Број,Оба пола,215
2013,Број,Оба пола,275
2014,Број,Оба пола,301
2015,Број,Оба пола,285
2016,Број,Оба пола,241
2017,Број,Оба пола,285
2018,Број,Оба пола,193
2019,Број,Оба пола,166
2020,Број,Оба пола,148
2011,Број,M,114
2012,Број,M,126
2013,Број,M,163
2014,Број,M,185
2015,Број,M,157
2016,Број,M,142
2017,Број,M,152
2018,Број,M,106
2019,Број,M,97
2020,Број,M,90
2011,Број,Ж,75
2012,Број,Ж,89
2013,Број,Ж,112
2014,Број,Ж,116
2015,Број,Ж,128
2016,Број,Ж,99
2017,Број,Ж,133
2018,Број,Ж,87
2019,Број,Ж,69
2020,Број,Ж,58
